CODIGO_DEPARTAMENTO,NOMBRE_DEPARTAMENTO,CODIGO_MUNICIPIO,NOMBRE_MUNICIPIO,CODIGO_DANE_MANZANA,CATEGORIA_MUNICIPIO,NIVEL_VULNERABILIDAD,TIPO_VULNERABILIDAD,IPM
11,BOGOTA,11001,BOGOTA,1100110000000011040334,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011040401,ESPECIAL,Vulnerabilidad media-baja,2,63
11,BOGOTA,11001,BOGOTA,1100110000000011050107,ESPECIAL,Vulnerabilidad media-baja,2,36
11,BOGOTA,11001,BOGOTA,1100110000000011050109,ESPECIAL,Vulnerabilidad media-baja,2,22
11,BOGOTA,11001,BOGOTA,1100110000000011050117,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011050118,ESPECIAL,Vulnerabilidad baja,1,6
11,BOGOTA,11001,BOGOTA,1100110000000011050119,ESPECIAL,Vulnerabilidad baja,1,38
11,BOGOTA,11001,BOGOTA,1100110000000011050120,ESPECIAL,Vulnerabilidad baja,1,35
11,BOGOTA,11001,BOGOTA,1100110000000011050121,ESPECIAL,Vulnerabilidad media-baja,2,43
11,BOGOTA,11001,BOGOTA,1100110000000011050122,ESPECIAL,Vulnerabilidad baja,1,21
11,BOGOTA,11001,BOGOTA,1100110000000011050124,ESPECIAL,Vulnerabilidad baja,1,25
11,BOGOTA,11001,BOGOTA,1100110000000011050125,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011050126,ESPECIAL,Vulnerabilidad media-baja,2,55
11,BOGOTA,11001,BOGOTA,1100110000000011050127,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011050128,ESPECIAL,Vulnerabilidad baja,1,40
11,BOGOTA,11001,BOGOTA,1100110000000011050133,ESPECIAL,Vulnerabilidad baja,1,49
11,BOGOTA,11001,BOGOTA,1100110000000011050134,ESPECIAL,Vulnerabilidad baja,1,13
11,BOGOTA,11001,BOGOTA,1100110000000011050137,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011050204,ESPECIAL,Vulnerabilidad baja,1,64
11,BOGOTA,11001,BOGOTA,1100110000000011050209,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011050210,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011050219,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011050223,ESPECIAL,Vulnerabilidad baja,1,0
11,BOGOTA,11001,BOGOTA,1100110000000011050224,ESPECIAL,Vulnerabilidad baja,1,50
